Månad,Antal dagar med trängselskatt,Totalt antal passager,Andel passager utländska fordon,Antal skattepliktiga passager,Maxtaxa,Skattebelagda passager
Januari,18,6 945 100,"2,4 %",6 566 400,"4,7 %",6 259 200
Februari,21,8 391 900,"2,1 %",7 987 200,"4,8 %",7 604 800
Mars,20,8 013 600,"2,7 %",7 659 800,"4,8 %",7 292 200
April,21,9 085 800,"2,8 %",8 698 500,"4,8 %",8 278 200
Maj,20,8 618 700,"3,0 %",8 246 400,"4,8 %",7 853 200
Juni,20,8 591 300,"3,4 %",8 245 500,"4,6 %",7 852 400
Augusti,23,9 056 500,"4,7 %",8 684 900,"4,4 %",8 301 000
September,22,9 276 400,"2,3 %",8 237 800,"4,7 %",8 410 900
Oktober,21,8 895 000,"2,2 %",8 516 300,"4,8 %",8 106 100
November,21,8 180 800,"2,1 %",7 769 300,"4,6 %",7 436 200
December,21,8 336 400,"1,9 %",7 975 900,"4,3 %",7 626 500
