Månad,Antal dagar med trängselskatt,Totalt antal passager,Andel passager utländska fordon,Antal skattepliktiga passager,Maxtaxa,Skattebelagda passager
Januari,20,7 652 700,"2,0 %",7 265 600,"4,6 %",6 224 000
Februari,20,8 108 500,"1,9 %",7 584 500,"4,75 %",7 601 200
Mars,23,9 547 600,"2,0 %",9 018 200,"4,89 %",8 577 600
April,17,7 330 330,"2,0 %",6 581 060,"4,88 %",6 581 060
Maj,20,8 671 570,"2,2 %",8 176 330,"4,95 %",7 770 640
Juni,19,8 408 670,"2,5 %",7 950 660,"4,90 %",7 560 870
Augusti,23,9 162 395,"2,9 %",8 659 954,"4,60 %",8 262 017
September,21,8 980 000,"2,3 %",8 490 700,"4,94 %",8 070 900
Oktober,22,9 430 000,"2,2 %",8 934 000,"4,92 %",8 494 300
November,21,8 874 800,"2,1 %",8 384 500,"4,94 %",7 970 100
December,19,7 736 000,"2,0 %",7 332 100,"4,80 %",6 980 300
