Stationsnamn;;Datum;Nederbord;;;;
2007-08-02 06:00;2007-09-01 06:00;07-aug;17.1;Y;;
2007-09-01 06:00;2007-10-01 06:00;07-sep;74.2;Y;;
2007-10-02 06:00;2007-11-01 06:00;07-okt;38.7;Y;;
2007-11-01 06:00;2007-12-01 06:00;07-nov;48.4;Y;;
2007-12-02 06:00;2008-01-01 06:00;07-dec;45.2;Y;;
2008-01-02 06:00;2008-02-01 06:00;08-jan;69.1;Y;;
2008-01-31 06:00;2008-03-01 06:00;08-feb;22.8;Y;;
2008-03-02 06:00;2008-04-01 06:00;08-mar;41.3;Y;;
2008-04-01 06:00;2008-05-01 06:00;08-apr;27.8;Y;;
2008-05-02 06:00;2008-06-01 06:00;08-maj;16.8;Y;;
2008-06-01 06:00;2008-07-01 06:00;08-jun;56.4;Y;;
2008-07-02 06:00;2008-08-01 06:00;08-jul;41.6;Y;;
2008-08-02 06:00;2008-09-01 06:00;08-aug;153.8;Y;;
2008-09-01 06:00;2008-10-01 06:00;08-sep;27.0;Y;;
2008-10-02 06:00;2008-11-01 06:00;08-okt;63.7;Y;;
2008-11-01 06:00;2008-12-01 06:00;08-nov;63.3;Y;;
2008-12-02 06:00;2009-01-01 06:00;08-dec;50.0;Y;;
2009-01-02 06:00;2009-02-01 06:00;09-jan;21.0;Y;;
2009-01-30 06:00;2009-03-01 06:00;09-feb;24.2;Y;;
2009-03-02 06:00;2009-04-01 06:00;09-mar;36.0;Y;;
2009-04-01 06:00;2009-05-01 06:00;09-apr;5.0;Y;;
2009-05-02 06:00;2009-06-01 06:00;09-maj;24.7;Y;;
2009-06-01 06:00;2009-07-01 06:00;09-jun;80.1;Y;;
2009-07-02 06:00;2009-08-01 06:00;09-jul;88.7;Y;;
2009-08-02 06:00;2009-09-01 06:00;09-aug;53.5;Y;;
2009-09-01 06:00;2009-10-01 06:00;09-sep;32.1;Y;;
2009-10-02 06:00;2009-11-01 06:00;09-okt;67.9;Y;;
2009-11-01 06:00;2009-12-01 06:00;09-nov;51.9;Y;;
2009-12-02 06:00;2010-01-01 06:00;09-dec;44.8;Y;;
2010-01-02 06:00;2010-02-01 06:00;10-jan;26.2;Y;;
2010-01-30 06:00;2010-03-01 06:00;10-feb;29.1;Y;;
2010-03-02 06:00;2010-04-01 06:00;10-mar;22.3;Y;;
2010-04-01 06:00;2010-05-01 06:00;10-apr;22.7;Y;;
2010-05-02 06:00;2010-06-01 06:00;10-maj;30.7;Y;;
2010-06-01 06:00;2010-07-01 06:00;10-jun;32.9;Y;;
2010-07-02 06:00;2010-08-01 06:00;10-jul;74.2;Y;;
2010-08-02 06:00;2010-09-01 06:00;10-aug;104.7;Y;;
2010-09-01 06:00;2010-10-01 06:00;10-sep;73.2;Y;;
2010-10-02 06:00;2010-11-01 06:00;10-okt;33.7;Y;;
2010-11-01 06:00;2010-12-01 06:00;10-nov;58.4;Y;;
2010-12-02 06:00;2011-01-01 06:00;10-dec;45.1;Y;;
2011-01-02 06:00;2011-02-01 06:00;11-jan;33.1;Y;;
2011-01-30 06:00;2011-03-01 06:00;11-feb;38.1;Y;;
2011-03-02 06:00;2011-04-01 06:00;11-mar;11.3;Y;;
2011-04-01 06:00;2011-05-01 06:00;11-apr;9.9;Y;;
2011-05-02 06:00;2011-06-01 06:00;11-maj;34.0;Y;;
2011-06-01 06:00;2011-07-01 06:00;11-jun;57.4;Y;;
2011-07-02 06:00;2011-08-01 06:00;11-jul;13.1;Y;;
2011-08-02 06:00;2011-09-01 06:00;11-aug;89.9;Y;;
2011-09-01 06:00;2011-10-01 06:00;11-sep;59.6;Y;;
2011-10-02 06:00;2011-11-01 06:00;11-okt;43.9;Y;;
2011-11-01 06:00;2011-12-01 06:00;11-nov;13.7;Y;;
2011-12-02 06:00;2012-01-01 06:00;11-dec;74.8;Y;;
2012-01-02 06:00;2012-02-01 06:00;12-jan;41.9;Y;;
2012-01-31 06:00;2012-03-01 06:00;12-feb;44.8;Y;;
2012-03-02 06:00;2012-04-01 06:00;12-mar;17.9;Y;;
2012-04-01 06:00;2012-05-01 06:00;12-apr;61.9;Y;;
2012-05-02 06:00;2012-06-01 06:00;12-maj;20.2;Y;;
2012-06-01 06:00;2012-07-01 06:00;12-jun;159.7;Y;;
2012-07-02 06:00;2012-08-01 06:00;12-jul;60.8;Y;;
2012-08-02 06:00;2012-09-01 06:00;12-aug;120.6;Y;;
2012-09-01 06:00;2012-10-01 06:00;12-sep;58.0;Y;;
2012-10-02 06:00;2012-11-01 06:00;12-okt;71.6;Y;;
2012-11-01 06:00;2012-12-01 06:00;12-nov;55.7;Y;;
2012-12-02 06:00;2013-01-01 06:00;12-dec;65.8;G;;
2013-01-02 06:00;2013-02-01 06:00;13-jan;26.7;Y;;
2013-01-30 06:00;2013-03-01 06:00;13-feb;29.7;Y;;
2013-03-02 06:00;2013-04-01 06:00;13-mar;2.5;Y;;
2013-04-01 06:00;2013-05-01 06:00;13-apr;27.8;Y;;
2013-05-02 06:00;2013-06-01 06:00;13-maj;17.2;Y;;
2013-06-01 06:00;2013-07-01 06:00;13-jun;47.2;Y;;
